Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8647276207,2.36849638711;"{""type"": ""Point"", ""coordinates"": [2.368496387112845, 48.864727620725915]}";256;45193;603;Oberkampf;OBERKAMPF;Oberkampf;2237;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109071;9;METRO;M9;3.0;110.0;RATP;0;1;0;653671.9381;6862929.2986
48.8704867033,2.33240740643;"{""type"": ""Point"", ""coordinates"": [2.332407406427906, 48.870486703270174]}";260;42237;607;Opéra;OPERA;Opéra;2173;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;;7;13.0;7-108041;7;METRO;M7;3.0;110.0;RATP;0;1;0;651029.8713;6863591.4421
48.8318256496,2.31412232347;"{""type"": ""Point"", ""coordinates"": [2.314122323470855, 48.831825649586285]}";262;45322;656;Plaisance;PLAISANCE;Plaisance;2331;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114041;13;METRO;M13;3.0;110.0;RATP;0;1;0;649651.2929;6859304.204
48.8646003734,2.40803103708;"{""type"": ""Point"", ""coordinates"": [2.408031037075815, 48.86460037337561]}";271;44510;684;Porte de Bagnolet;PORTE DE BAGNOLET;Porte de Bagnolet;2073;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103035;3;METRO;M3;3.0;110.0;RATP;0;1;0;656572.0977;6862892.6803
48.8552362528,2.36095648866;"{""type"": ""Point"", ""coordinates"": [2.360956488661, 48.85523625279509]}";278;44881;777;Saint-Paul (le Marais);SAINT-PAUL (LE MARAIS);Saint-Paul;2016;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101049;1;METRO;M1;3.0;110.0;RATP;0;1;0;653110.2705;6861878.3873
48.846878238,2.32679278504;"{""type"": ""Point"", ""coordinates"": [2.326792785039298, 48.84687823795213]}";280;44885;779;Saint-Placide;SAINT-PLACIDE;Saint-Placide;2093;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104065;4;METRO;M4;3.0;110.0;RATP;0;1;0;650595.6493;6860969.8856
48.867309475,2.34751621328;"{""type"": ""Point"", ""coordinates"": [2.347516213278753, 48.86730947497151]}";284;44825;792;Sentier;SENTIER;Sentier;2064;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103053;3;METRO;M3;3.0;110.0;RATP;0;1;0;652135.2075;6863228.8943
48.8511923493,2.32648847397;"{""type"": ""Point"", ""coordinates"": [2.326488473969164, 48.85119234932185]}";285;44828;798;Sèvres-Babylone;SEVRES-BABYLONE;Sèvres-Babylone;2278;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110055;10;METRO;M10;3.0;110.0;RATP;0;1;0;650577.4091;6861449.763
48.893941388,2.34776550172;"{""type"": ""Point"", ""coordinates"": [2.347765501718976, 48.893941388029106]}";288;44833;802;Simplon;SIMPLON;Simplon;2076;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104031;4;METRO;M4;3.0;110.0;RATP;0;1;0;652177.9554;6866190.0425
48.8666826802,2.36154153207;"{""type"": ""Point"", ""coordinates"": [2.361541532068171, 48.86668268024131]}";298;44924;849;Temple;TEMPLE;Temple;2067;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103047;3;METRO;M3;3.0;110.0;RATP;0;1;0;653163.4882;6863150.7891
48.8379612135,2.25712222985;"{""type"": ""Point"", ""coordinates"": [2.257122229845437, 48.837961213537035]}";301;44524;695;Porte de Saint-Cloud;PORTE DE SAINT-CLOUD;Porte de Saint-Cloud;2259;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109027;9;METRO;M9;3.0;110.0;RATP;0;1;0;645473.5838;6860024.2597
48.8324490991,2.2880221411;"{""type"": ""Point"", ""coordinates"": [2.288022141100324, 48.832449099143346]}";304;49515;701;Porte de Versailles;PORTE DE VERSAILLES;Porte de Versailles;2324;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112035;12;METRO;M12;3.0;110.0;RATP;0;1;0;647736.0144;6859390.483
48.8771105118,2.40672924554;"{""type"": ""Point"", ""coordinates"": [2.40672924554309, 48.87711051176335]}";307;44529;698;Porte des Lilas;PORTE DES LILAS;Porte des Lilas;2356;Metro;0;0;0;1;0;0;0;0;0;0;M3bis;0;0;0;A01549;C01386;M3bis;9.0;3b-111035;3bis;METRO;M3bis;3.0;110.0;RATP;0;1;0;656487.0493;6864284.4407
48.8659067396,2.33418954197;"{""type"": ""Point"", ""coordinates"": [2.334189541968249, 48.86590673959415]}";314;44579;714;Pyramides;PYRAMIDES;Pyramides;2371;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;;14;6.0;14-107057;14;METRO;M14;3.0;110.0;RATP;0;1;0;651156.2996;6863081.082
48.8659809205,2.33433072438;"{""type"": ""Point"", ""coordinates"": [2.334330724377939, 48.86598092048643]}";315;44579;715;Pyramides;PYRAMIDES;Pyramides;2172;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107057;7;METRO;M7;3.0;110.0;RATP;0;1;0;651166.726;6863089.243
48.8738818542,2.3853162151;"{""type"": ""Point"", ""coordinates"": [2.385316215101791, 48.87388185415815]}";316;44580;716;Pyrénées;PYRENEES;Pyrénées;2293;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01544;;11;3.0;11-111043;11;METRO;M11;3.0;110.0;RATP;0;1;0;654913.7648;6863937.4476
48.8465154042,2.36587346941;"{""type"": ""Point"", ""coordinates"": [2.365873469406567, 48.84651540419338]}";318;44583;718;Quai de la Rapée;QUAI DE LA RAPEE;Quai de la Rapée;2105;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105073;5;METRO;M5;3.0;110.0;RATP;0;1;0;653463.2581;6860905.8001
48.8671587253,2.3639578365;"{""type"": ""Point"", ""coordinates"": [2.36395783649627, 48.86715872533789]}";330;44617;732;République;REPUBLIQUE;République;2209;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-109069;8;METRO;M8;3.0;110.0;RATP;0;1;0;653341.1678;6863202.2912
